,weight_avg,arithmetic,tsv,isotropic
right_subspace_overlap_top_k,0.15542735038897568,0.19556430979503944,0.15483502404776378,0.21237088721513123
right_subspace_overlap_bottom_k,-0.26997868365761346,0.044655352485868605,-0.3339826081339457,0.08535094438461933
interaction_matrix_overlap_top_k,-0.42099377568440144,-0.5937515700437175,-0.40137181180232423,-0.6771572991066357
interaction_matrix_overlap_bottom_k,0.3036423996582754,0.129160809506071,0.3363486248453292,0.126177422193125
effective_rank,0.22809540963431998,-0.013944322929909391,0.25859879225780813,-0.06114983869903536
effective_rank_mergeability_score,0.1040780369501592,0.29874922450179014,0.049363316793296405,0.3314390194101724
stable_rank,-0.183064502681024,0.07669603156457319,-0.21137073708163467,0.23068320067845344
spectral_gap,0.10569376501660466,0.08560735402744798,0.13055171863413192,0.09581498144032964
singular_value_ratio,0.22647951274223593,0.19919574079578045,0.17741042617256178,0.17447278949441977
layerwise_effective_rank,0.18081584156928793,0.2613707706883656,0.14403882597009177,0.23063835601768362
layerwise_effective_rank_mergeability_score,0.1513576050151942,0.023434130883517357,0.1639232830810135,0.03965082469345525
task_vector_cosine_similarity,0.1471606256938126,0.19662506122097972,0.1404837681711003,0.16790097282112007
task_vector_l2_distance,-0.03266029449518027,-0.13931585995010334,-0.0074521530460567136,-0.13717934964460046
task_vector_dot_product,0.029803280415918034,0.025740805040546995,0.032484980105505566,0.0379183201188404
weight_space_angle,0.10668476990176536,0.041505406466240326,0.13039183540648577,0.03528308271912029
task_vector_magnitude_ratio,-0.08899343616125323,-0.14287791618486248,-0.01314740962358913,-0.1493861106728701
singular_value_overlap,0.023436371154823502,-0.00785935549165283,0.0302894668807691,-0.04183694112512797
subspace_overlap,-0.007129360780304687,0.004309959535366712,-0.007969705329811538,0.029557059925638094
right_subspace_overlap,0.15543449040005278,0.19556861939220035,0.15483912225662924,0.2123737118428693
activation_l2_distance,0.11597519344229186,0.21909595364988477,0.08907319653575006,0.1863456585785412
activation_cosine_similarity,0.13582328221716844,0.17276783283560385,0.12867941808801234,0.1447388671967402
activation_magnitude_ratio,-0.009716296995015215,-0.03263350838494625,-0.008527308397311164,-0.04394078284560035
activation_dot_product,-0.006289209768876086,0.009703971942257517,-0.01810569842243248,-0.014579238955547072
encoder_gradient_cosine_similarity,-0.010653219295694303,-0.03130459119810194,-0.008809670085715794,-0.038840509035691737
encoder_gradient_l2_distance,-0.04850885729819487,-0.06208481053479434,-0.04062167095331543,-0.03882847353178189
encoder_gradient_dot_product,-0.009250609545191524,-0.026130303402278763,-0.004723592079007911,-0.028044666736680445
input_gradient_cosine_similarity,0.007744335608658921,0.005842078805262423,0.0037103914375470016,0.008675820895637306
input_gradient_l2_distance,-0.06694688493051429,-0.10500265760347437,-0.05258488467583932,-0.09752472328359045
input_gradient_dot_product,-0.023467138516281,-0.030688517412955373,-0.016354941052812048,-0.020923985988735044
