metric,mean_coef,abs_mean_coef,std_coef,cv,sign_agreement,consistency_score
right_subspace_overlap_top_k,16.71113948971033,16.71113948971033,23.27094751792981,1.3925410363747597,0.85,0.5694985794592081
right_subspace_overlap_bottom_k,13.105685395002364,13.105685395002364,29.048431133647714,2.2164755398874516,0.9,0.38852126193559006
interaction_matrix_overlap_top_k,16.1517613530159,16.1517613530159,46.116229607859225,2.855182699359067,0.7,0.23687198769531878
interaction_matrix_overlap_bottom_k,31.36733757928014,31.36733757928014,29.75734260901145,0.9486728838338224,0.95,0.9059068987527491
effective_rank,-18.380647591501475,18.380647591501475,61.37198220480697,3.338945587520737,0.5,0.14539340250523372
effective_rank_mergeability_score,7.255045761074871,7.255045761074871,21.038924590375355,2.899902392656902,0.65,0.21667371631525623
stable_rank,-13.513787350058555,13.513787350058555,44.82195700238241,3.3167576052630885,0.6,0.17560508216204007
spectral_gap,-13.051431304216385,13.051431304216385,69.17258477186985,5.299999908555854,0.35,0.06481481591239546
singular_value_ratio,-10.776241187006235,10.776241187006235,32.22717410658724,2.990576539391149,0.8,0.2588513792826506
layerwise_effective_rank,14.813489101454616,14.813489101454616,44.15179337052495,2.980512763625979,0.5,0.16231064058681743
layerwise_effective_rank_mergeability_score,-3.620401202514768,3.620401202514768,44.740954997817504,12.358010168364732,0.35,0.028094374243550792
task_vector_cosine_similarity,11.677420894801617,11.677420894801617,44.80790251770339,3.837140314029351,0.5,0.12699572789375382
task_vector_l2_distance,-19.195263670384882,19.195263670384882,20.449168960050855,1.0653236809113127,0.8,0.6865045421323454
task_vector_dot_product,8.681770853698254,8.681770853698254,46.093252809200294,5.3091994171296895,0.35,0.06470458435894054
weight_space_angle,3.8948691083991434,3.8948691083991434,24.93490276554546,6.401987334504868,0.7,0.10765939150407551
task_vector_magnitude_ratio,-4.699292369745672,4.699292369745672,11.142478875448695,2.3710971727304466,0.65,0.2630410520367277
singular_value_overlap,-27.664488279819487,27.664488279819487,25.922319877659547,0.937025098967724,0.95,0.9160819742411724
subspace_overlap,22.262824238091707,22.262824238091707,20.240752926379326,0.9091727402067729,0.9,0.8918195707660473
right_subspace_overlap,15.681843281164765,15.681843281164765,18.50063266165671,1.179748599584595,0.8,0.6251227782235347
activation_l2_distance,-10.562707382440568,10.562707382440568,17.27444666827266,1.6354184610505724,0.75,0.4321724222905705
activation_cosine_similarity,8.936807392630726,8.936807392630726,27.984857386099833,3.131415518461541,0.7,0.21662333302566614
activation_magnitude_ratio,-2.692319619655609,2.692319619655609,23.90759521424967,8.879924564271679,0.85,0.09465558356490934
activation_dot_product,-6.500173689424992,6.500173689424992,32.69023371358617,5.029132331721836,0.8,0.15597179956779203
encoder_gradient_cosine_similarity,22.755795173346996,22.755795173346996,55.46553777198908,2.437424723025259,0.85,0.3349853070662064
encoder_gradient_l2_distance,-25.241465726494788,25.241465726494788,24.884468161638047,0.9858567018815954,1.0,0.9209318303853343
encoder_gradient_dot_product,14.642126197740435,14.642126197740435,14.228562523515679,0.971755216533639,0.95,0.8863964320813571
input_gradient_cosine_similarity,15.523632651567459,15.523632651567459,21.382103075313616,1.377390430543376,0.85,0.5753387746578098
input_gradient_l2_distance,-42.31437183618546,42.31437183618546,74.28458737966453,1.7555403551703936,0.95,0.5119802419563986
input_gradient_dot_product,-24.257772755622863,24.257772755622863,22.065730945035753,0.9096354870759782,0.9,0.8914108225400285
